,평균 연별 기온,강수량 ,연평균 미세먼지(PM-10),낮시간 소음도 ,국토면적,산림면적,임목축적,산림율,평균 임목축적,2019년 가로수 조성 현황(종)
서울특별시,13.2,1775.3,9121111,69,"60,523","15,323","2,282,684",25.32,148.97,은행나무
부산광역시,15.4,991.9,6635661,66,"77,007","34,926","6,268,223",45.35,179.47,왕벚나무
대구광역시,14.7,593,3062618,67,"88,349","48,338","8,745,821",54.71,180.93,은행나무
인천광역시,11.9,1401.1,6772237,66,"106,523","39,373","5,705,792",36.96,144.92,은행나무
광주광역시,14.8,769.9,1763931,63,"50,113","18,944","2,806,238",37.8,148.13,은행나무
대전광역시,13.5,1203.1,1452646,66,"53,966","29,764","5,006,992",55.15,168.22,왕벚나무
울산광역시,14.7,926.1,3212799,60,"106,209","68,001","11,401,826",64.03,167.67,왕벚나무
세종특별자치시,13,1222.4,886891,64,"46,491","24,849","3,839,903",53.45,154.53,왕벚나무
경기도,11.9,1839.6,28075782,61,"1,019,527","512,105","81,057,717",50.23,158.28,은행나무
강원특별자치도,11.5,1465.4,7946339,68,"1,682,968","1,366,644","250,792,917",81.2,183.51,은행나무
충청북도,12,1229.9,8235661,66,"740,695","488,337","78,091,550",65.93,159.91,은행나무
충청남도,12.5,1273.2,12765996,61,"824,617","404,097","59,154,844",49,146.39,왕벚나무
전라북도,13,911,8692161,67,"806,984","440,746","71,494,501",54.62,162.21,왕벚나무
전라남도,14.2,896.7,13921936,60,"1,234,809","686,852","88,048,613",55.62,128.19,왕벚나무
경상북도,12.9,886.7,17685102,60,"1,903,403","1,333,691","228,240,999",70.07,171.13,은행나무
경상남도,14.3,948,10404086,63,"1,054,055","698,810","124,449,446",66.3,178.09,은행나무
제주특별자치도,16.7,1362.4,2739143,33,"185,021","87,334","13,059,207",47.2,149.53,왕벚나무
